vkn,wmkn,mkn,truth
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0.09185586535436918
0,0,0,-0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,-0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,-0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,-0
0,0,0,0
0,0,0,-0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,-0
0,0,0,-0
0,0,0,0
0,0,0,-0
